IBOV - Carteira do Dia 10/06/21;;;;
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.358.542.894;3,575
ASAI3;ASSAI;ON      NM;88.180.251;0,318
AZUL4;AZUL;PN      N2;327.262.616;0,662
BTOW3;B2W DIGITAL;ON      NM;201.802.882;0,567
B3SA3;B3;ON      NM;6.119.434.194;4,263
BIDI11;BANCO INTER;UNT     N2;235.350.939;0,65
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,693
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,414
BBDC3;BRADESCO;ON  EJ  N1;1.253.093.907;1,276
BBDC4;BRADESCO;PN  EJ  N1;4.261.649.634;5,087
BRAP4;BRADESPAR;PN      N1;222.604.507;0,664
BBAS3;BRASIL;ON      NM;1.283.197.221;1,94
BRKM5;BRASKEM;PNA ATZ N1;264.640.575;0,641
BRFS3;BRF SA;ON  ATZ NM;811.759.800;0,947
BPAC11;BTGP BANCO;UNT     N2;236.093.794;1,218
CRFB3;CARREFOUR BR;ON      NM;391.758.726;0,38
CCRO3;CCR SA;ON      NM;1.115.693.556;0,654
CMIG4;CEMIG;PN      N1;1.081.211.185;0,632
HGTX3;CIA HERING;ON      NM;126.186.408;0,18
CIEL3;CIELO;ON      NM;1.112.196.638;0,194
COGN3;COGNA ON;ON      NM;1.847.994.874;0,353
CPLE6;COPEL;PNB     N1;570.829.074;0,15
CSAN3;COSAN;ON      NM;1.169.237.744;1,233
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,232
CVCB3;CVC BRASIL;ON      NM;200.884.562;0,233
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,305
ECOR3;ECORODOVIAS;ON      NM;172.602.770;0,096
ELET3;ELETROBRAS;ON      N1;358.018.408;0,688
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,462
EMBR3;EMBRAER;ON      NM;736.143.105;0,541
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,184
ENGI11;ENERGISA;UNT     N2;250.679.709;0,514
ENEV3;ENEVA;ON      NM;1.248.545.726;0,913
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;0,442
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;1,051
EZTC3;EZTEC;ON      NM;95.756.217;0,138
FLRY3;FLEURY;ON      NM;303.800.430;0,352
GGBR4;GERDAU;PN      N1;995.903.643;1,357
GOAU4;GERDAU MET;PN      N1;693.699.918;0,426
GOLL4;GOL;PN      N2;178.123.292;0,208
NTCO3;GRUPO NATURA;ON      NM;841.433.075;2,021
HAPV3;HAPVIDA;ON      NM;1.265.256.490;0,838
HYPE3;HYPERA;ON      NM;410.147.968;0,615
IGTA3;IGUATEMI;ON      NM;85.796.919;0,158
GNDI3;INTERMEDICA;ON      NM;593.438.080;2,189
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,325
ITSA4;ITAUSA;PN  ED  N1;4.515.538.171;2,298
ITUB4;ITAUUNIBANCO;PN  ED  N1;4.770.095.054;6,74
JBSS3;JBS;ON      NM;1.388.025.890;1,741
JHSF3;JHSF PART;ON      NM;288.832.602;0,095
KLBN11;KLABIN S/A;UNT     N2;922.294.338;1,006
RENT3;LOCALIZA;ON      NM;593.841.434;1,653
LCAM3;LOCAMERICA;ON      NM;323.763.077;0,391
LWSA3;LOCAWEB;ON      NM;427.663.748;0,448
LAME4;LOJAS AMERIC;PN      N1;847.010.651;0,802
LREN3;LOJAS RENNER;ON      NM;887.417.914;1,806
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;2,298
MRFG3;MARFRIG;ON      NM;368.864.634;0,289
BEEF3;MINERVA;ON      NM;240.482.896;0,103
MRVE3;MRV;ON      NM;293.978.672;0,219
MULT3;MULTIPLAN;ON      N2;245.888.754;0,276
PCAR3;P.ACUCAR-CBD;ON      NM;156.928.631;0,262
PETR3;PETROBRAS;ON      N2;3.620.580.434;4,539
PETR4;PETROBRAS;PN      N2;4.566.457.037;5,559
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,368
PRIO3;PETRORIO;ON      NM;807.220.415;0,652
QUAL3;QUALICORP;ON      NM;283.467.789;0,345
RADL3;RAIADROGASIL;ON      NM;1.072.645.150;1,272
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;1,077
SBSP3;SABESP;ON      NM;339.999.111;0,55
SANB11;SANTANDER BR;UNT;355.642.348;0,682
CSNA3;SID NACIONAL;ON;642.398.790;1,222
SULA11;SUL AMERICA;UNT     N2;284.566.116;0,41
SUZB3;SUZANO S.A.;ON      NM;724.921.241;1,838
TAEE11;TAESA;UNT     N2;218.568.274;0,371
VIVT3;TELEF BRASIL;ON;444.219.852;0,865
TIMS3;TIM;ON      NM;808.485.985;0,437
TOTS3;TOTVS;ON      NM;480.228.410;0,718
UGPA3;ULTRAPAR;ON      NM;1.085.987.426;0,95
USIM5;USIMINAS;PNA     N1;513.796.208;0,412
VALE3;VALE;ON      NM;2.456.887.211;11,71
VVAR3;VIAVAREJO;ON      NM;1.595.508.601;1,022
WEGE3;WEG;ON      NM;1.482.296.002;2,157
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,438
Quantidade Teórica Total;;;83.894.946.346;100
Redutor;;;18.121.240,51;
